event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
245584592,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 06:03,5150898,7. Playful Miss,0,2.62000000,1.0000,1.7812,1.00,1001.00,1.00,1001.00,30.08,0.00,0.00
245584589,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 05:25,79304177,2. Mickey Be Nimble,0,1.70241063,1.0000,1.3715,1.00,1001.00,1.00,1001.00,452.69,0.00,0.00
245525919,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 07:30,85854868,10. Savvyrocker,1,4.70311700,1.0000,3.8965,1.00,1001.00,1.00,1001.00,333.25,0.00,0.00
245586715,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 05:45,9388262,6. Mango Tango,1,2.30000000,1.0000,1.8329,1.00,1001.00,1.00,1001.00,157.94,0.00,0.00
245525887,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 05:30,85854850,9. Prophets Son,1,2.40000000,1.0000,2.2274,1.00,1001.00,1.00,1001.00,1755.97,0.00,0.00
245586671,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 09:26,40421424,5. Tranquil Bill,1,1.52000000,1.0000,1.4428,1.00,1001.00,1.00,1001.00,48.90,0.00,0.00
245584631,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 05:17,43549404,10. Alook To Like,0,3.92500000,1.0000,3.9856,1.00,1001.00,1.00,1001.00,30.98,0.00,0.00
245584635,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 06:33,60038649,5. Eastbro Kozzy,0,2.89893549,1.0000,2.7242,1.00,1001.00,1.00,1001.00,542.35,0.00,0.00
245584655,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 12:33,85780669,9. Saychelles,0,6.60000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
245586717,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 06:20,68685978,4. Mriya Dream,0,3.50000000,1.0000,2.8400,1.00,1001.00,1.00,1001.00,76.09,0.00,0.00
245525903,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 06:30,61287786,8. Explicable,1,6.04833185,1.0000,3.0646,1.00,1001.00,1.00,1001.00,703.57,0.00,0.00
245584598,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 07:15,67336561,3. Theres Wally,0,2.14939753,1.0000,1.7493,1.00,1001.00,1.00,1001.00,844.29,0.00,0.00
245525919,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 07:30,84267149,7. Pops Pipe,0,2.23620708,1.0000,2.0611,1.00,1001.00,1.00,1001.00,1169.32,0.00,0.00
